Title,Id,Category,Reg. Price,Price,Image,Description,Height,Width,Length,Glass,Safety Listing,Weight,Chain,Wire,Number of Bulbs,Max Wattage,Bulb Base,Light Sourse,Dimmable,Bulb Voltage,Manufacturers_warranty,Finish,UPC,Instructions,Parts Diagram,Extension,Shipped Via,Bulbs Included,Bulb Type,Color Temp,CRI,Light Output,Rated Avg Life,Canopy
Two Light Wall Sconce,409714,"Sconces, Wall Torchieres",,Call for Price,https://cdn.lightsamerica.com/images/SM5/409714.jpg,"Sconce in a warm muted gold leaf finish featuring beveled crystal accents. Look for the distinctive crystals, registered trademarks of Fine Art Lamps (Reg. U.S. Pat & TM Off.)","66""","24""",,,Dry,13lb,,,2,60W,Candelabra,,,,,Gold,,,,"10""",,,B-10,,,,,
Three Light Wall Sconce,409698,"Sconces, Wall Torchieres",,Call for Price,https://cdn.lightsamerica.com/images/SM5/409698.jpg,Sconce in venerable bronze patina with clear crystal gems.,"49""","19""",,,Dry,29lb,,,3,60W,Candelabra,,,,,Bronze,,,,"10""",,,B-10,,,,,
One Light Wall Sconce,274523,"Sconces, Wall Torchieres",,Call for Price,https://cdn.lightsamerica.com/images/SM5/274523.jpg,"The Cambridge Collection combines heavy forged iron with genuine stone candle covers. When lit, the stone gives off a subtle warm glow while discretely placed halogen lights provide the benefit of clean, functional down lighting. Finished in moonlit rust,","36""","5""",,,,6lb,,,1,60W,Candelabra,,,,,Moonlit Rust,,,,"7""",,,,,,,,
One Light Wall Sconce,272472,"Sconces, Wall Torchieres",,Call for Price,https://cdn.lightsamerica.com/images/SM5/272472.jpg,"Sconce in a warm muted gold leaf finish featuring beveled crystal accents. Look for the distinctive crystals, registered trademarks of Fine Art Lamps (Reg. U.S. Pat & TM Off.)","28""","9""",,,,4lb,,,1,60W,Candelabra,,,,,Gold,,,,"6""",,,G-16.5,,,,,
One Light Wall Sconce,272412,"Sconces, Wall Torchieres",,Call for Price,https://cdn.lightsamerica.com/images/SM5/272412.jpg,Wall sconce in rich umber with gilded accents. Features half shade of hand-decorated mica panels.,"71""","12.75""",,,Dry,12lb,,,1,60W,Medium,,,,,Other Dark,,,,"7""",,,A-19,,,,,
Two Light Wall Torchiere,258092,"Sconces, Wall Torchieres",,Call for Price,https://cdn.lightsamerica.com/images/SM5/258092.jpg,,"65.25""","10.75""",,Spumante Strato,,10.25lb,,,2,100W,Medium,,,,,Terraza Village Aged Patina w/ Gold Leaf Accents,,,,"6.5""",UPS,,A-19,,,,,"5.13"""
One Light Wall Lamp,257042,"Sconces, Wall Torchieres",,Call for Price,https://cdn.lightsamerica.com/images/SM5/257042.jpg,,"33""","9.5""",,Off-White 10``x9.5``,Dry,7lb,,,1,150W,Medium,,,120V,,Satin Nickel,,,,"11""",Ups,,A19,,,,,"2""x9'`"
One Light Wall Lamp,257041,"Sconces, Wall Torchieres",,Call for Price,https://cdn.lightsamerica.com/images/SM5/257041.jpg,,"33""","9.5""",,Off-White 10``x9.5``,Dry,7lb,,,1,150W,Medium,,,120V,,Satin Nickel,,,,"11""",Ups,,A19,,,,,"2""x9'`"
One Light Wall Lamp,257040,"Sconces, Wall Torchieres",,Call for Price,https://cdn.lightsamerica.com/images/SM5/257040.jpg,,"33""","9.5""",,Off-White 10``x9.5``,Dry,7lb,,,1,150W,Medium,,,120V,,Satin Nickel,,,,"11""",Ups,,A19,,,,,"2""x9'`"
One Light Wall Sconce,250038,"Sconces, Wall Torchieres",,Call for Price,https://cdn.lightsamerica.com/images/SM5/250038.jpg,A tradtional proportion combined and exquisite crystal details give aston court lasting elegance.,"36""","7.25""",,Avorio Mezzo,,6.83lb,,,1,100W,Medium,,,,,Aston Court Bronze,,,,"7.75""",UPS,,A-19,,,,,
Two Light Wall Sconce,250033,"Sconces, Wall Torchieres",,Call for Price,https://cdn.lightsamerica.com/images/SM5/250033.jpg,A tradtional proportion combined and exquisite crystal details give aston court lasting elegance.,"44.5""","15.5""",,Avorio Mezzo,,9.04lb,,,2,60W,Candelabra,,,,,Aston Court Bronze,,,,"7.25""",UPS,,B10.5,,,,,"7.25""x7.25"
One Light Sconce,245137,"Sconces, Wall Torchieres",,Call for Price,https://cdn.lightsamerica.com/images/SM5/245137.jpg,,"32""","9""",,,,,,,1,100W,Medium,,,,,Rustic Iron,,,,"6""",Ups,,,,,,,
Two Light Wall Sconce,207038,"Sconces, Wall Torchieres",,Call for Price,https://cdn.lightsamerica.com/images/SM5/207038.jpg,"Hard-wired wall sconce in warm muted silver leaf finish. Look for the distinctive crystals, registered trademarks of Fine Art Lamps (Reg. U.S. Pat & TM Off.)","66""","24""",,,Dry,13lb,,,2,60W,Candelabra,,,,,Silver,,,,"10""",,,B-10,,,,,
One Light Wall Sconce,202789,"Sconces, Wall Torchieres",,Call for Price,https://cdn.lightsamerica.com/images/SM5/202789.jpg,"Warm yet contemporary, this collection boasts gracefully sculptured metalwork. The antique bronze finish is paired with amber scavo glass for a soft effect, while the tarnished silver finish is complemented by white faux-alabaster glass.","38""","16""",,White,,12lb,,,1,100W,Medium,,,,,Tarnished Silver,,,,"8""",,,,,,,,
One Light Wall Torchiere,170517,"Sconces, Wall Torchieres",,Call for Price,https://cdn.lightsamerica.com/images/SM5/170517.jpg,,"67.75""","11.75""","12.25""",Salon Scavo,,12.13lb,,,1,100W,Medium,,,,,Golden Bronze,,,,"12.25""",UPS,,A-19,,,,,
